index,red1,ir1,red2,ir2
0,3022,3433,82649,82746
1,82896,82900,148136,138966
2,146512,137510,174887,146071
3,165404,142992,174955,146093
4,165415,142988,175070,146131
5,165428,142987,175061,146135
6,165451,142975,175018,146124
7,165455,142968,175042,146132
8,165442,142963,175044,146139
9,165470,142973,175061,146132
10,165494,143007,175075,146136
11,165531,143036,175133,146168
12,165545,143043,175128,146147
13,165551,143053,175121,146152
14,165573,143064,175201,146185
15,165541,143015,175237,146204
16,165525,142987,175225,146196
17,165535,142992,175251,146210
18,165559,143003,175282,146237
19,165574,143004,175290,146253
20,165586,143027,175098,146179
21,165567,143023,174398,145913
22,165494,143035,174242,145884
23,165394,142951,174380,145970
24,165421,142911,174505,146009
25,165447,142922,174641,146067
26,165471,142912,174848,146157
27,165534,142939,174951,146176
28,165564,142962,174902,146161
29,165566,142963,174959,146183
30,165585,142962,175003,146196
31,165628,142996,175047,146216
32,165670,143023,175603,146218
33,165671,143021,175636,146231
34,165675,143024,175665,146232
35,165661,143043,175689,146240
36,165597,143001,175744,146268
37,165561,142981,175781,146275
38,165535,142965,175805,146267
39,165538,142967,175802,146258
40,165538,142969,175608,146176
41,165518,142927,175252,146041
42,165524,142923,175123,145996
43,165514,142931,175232,146029
44,165413,142911,175352,146075
45,165270,142865,175500,146128
46,165249,142851,175548,146139
47,165257,142822,175497,146117
48,165261,142799,175478,146110
49,165338,142808,175549,146153
50,165374,142822,175626,146163
51,165392,142828,175700,146187
52,165400,142861,175742,146204
53,165411,142894,175777,146212
54,165442,142910,175791,146230
55,165452,142908,175815,146222
56,165478,142917,175840,146224
57,165475,142904,175857,146236
58,165491,142917,175868,146225
59,165502,142899,175756,146180
60,165479,142881,175434,146045
61,165519,142895,175210,145972
62,165550,142926,175270,145982
63,165558,142930,175365,145994
64,165557,142897,175478,146032
65,165528,142872,175543,146044
66,165427,142842,175512,146030
67,165317,142813,175457,146004
68,165284,142804,175496,146036
69,165316,142801,175576,146065
70,165330,142771,175632,146083
71,165346,142755,175671,146086
72,165393,142744,175682,146081
73,165410,142744,175689,146079
74,165397,142729,175720,146080
75,165405,142710,175753,146087
76,165419,142693,175784,146101
77,165441,142703,175740,146065
78,165460,142697,175397,145942
79,165476,142699,174845,145731
80,165490,142703,174811,145722
81,165499,142693,174968,145785
82,165505,142685,174987,145782
83,165511,142678,175036,145801
84,165539,142669,175197,145856
85,165530,142663,175230,145856
86,165553,142656,175195,145840
87,165528,142649,175219,145844
88,165420,142611,175279,145870
89,165351,142586,175374,145899
90,165361,142587,175428,145924
91,165404,142590,175506,145946
92,165428,142582,175567,145976
93,165454,142580,175598,145975
94,165473,142579,175636,145987
95,165444,142565,175662,145997
96,165440,142536,175687,145995
97,165447,142522,175653,145977
98,165469,142537,175245,145807
99,165492,142526,174707,145612
100,165500,142522,174734,145633
101,165498,142519,174859,145667
102,165515,142521,174887,145683
103,165519,142521,174965,145705
104,165539,142508,175197,145784
105,165566,142500,175242,145807
106,165578,142500,175210,145794
107,165582,142494,175236,145810
108,165537,142489,175331,145837
109,165475,142482,175427,145868
110,165459,142499,175476,145885
111,165492,142527,175534,145908
112,165522,142523,175595,145921
113,165546,142504,175630,145940
114,165549,142479,175664,145953
115,165524,142445,175710,145966
116,165520,142408,175733,145965
117,165520,142397,175789,145986
118,165543,142403,175802,145997
119,165568,142395,175640,145918
120,165563,142388,175043,145689
121,165584,142406,174806,145608
122,165608,142408,174940,145665
123,165631,142409,175012,145679
124,165659,142419,175042,145693
125,165669,142431,175180,145731
126,165680,142435,175340,145782
127,165654,142421,175325,145774
128,165575,142424,175306,145765
129,165519,142433,175383,145796
130,165504,142423,175474,145825
131,165526,142442,175526,145842
132,165599,142271,176028,145758
133,165611,142242,175996,145726
134,165612,142250,176004,145737
135,165625,142258,176026,145740
136,165647,142270,176059,145735
137,165663,142277,176073,145744
138,165674,142263,176105,145764
139,165669,142269,176114,145758
140,165683,142271,176063,145742
141,165695,142271,175783,145622
142,165694,142248,175550,145543
143,165704,142241,175599,145561
144,165664,142230,175669,145575
145,165544,142190,175713,145587
146,165471,142180,175810,145606
147,165504,142183,175819,145624
148,165530,142178,175759,145590
149,165525,142187,175755,145592
150,165575,142198,175804,145606
151,165607,142194,175866,145625
152,165592,142195,175908,145644
153,165587,142174,175950,145658
154,165587,142181,175993,145671
155,165609,142182,176008,145674
